tech_number,number,name,years_life,years_from,years_to,description,detail_link,img_link
1,1,Рюрик,? - 879,862,879,Князь русский.,,
2,2,Олег,? - 912,879,912,Князь русский.,,
3,3,Игорь Рюрикович,? - 945,913,945,Князь русский.,,
4,4,Ольга,? - 969,945,960,Княгиня русская.,,
5,5,Святослав Игоревич,? - 972,960,972,Князь русский.,,
6,6,Ярополк Святославич,? - 980,972,980,Князь русский.,,
7,7,Владимир Святославич,? - 1015,980,1015,Князь русский.,,
8,8,Святополк Владимирович,? - 1019,1015,1016,Князь русский.,,
9,9,Ярослав Владимирович,? - 1054,1016,1018,Князь русский.,,
10,8,Святополк Владимирович,? - 1019,1018,1019,Князь русский.,,
11,9,Ярослав Владимирович,? - 1054,1019,1054,Князь русский.,,
12,10,Изяслав Ярославич,1024 - 1078,1054,1068,Князь русский.,,
13,11,Всеслав Брячиславич,? - 1101,1068,1069,Князь русский.,,
14,10,Изяслав Ярославич,1024 - 1078,1069,1073,Князь русский.,,
15,12,Святослав Ярославич,1027 - 1076,1073,1076,Князь русский.,,
16,13,Всеволод Ярославич,1030 - 1093,1077,1077,Князь всея Руси.,,
17,10,Изяслав Ярославич,1024 - 1078,1077,1078,Князь всея Руси.,,
18,13,Всеволод Ярославич,1030 - 1093,1078,1093,Князь всея Руси.,,
19,14,Святополк Изяславич,1050 - 1113,1093,1113,Князь всея Руси.,,
20,15,Владимир Всеволодович Мономах,1053-1125,1113,1125,Князь всея Руси.,,
21,16,Мстислав Владимирович,1076 - 1132,1125,1132,Князь всея Руси.,,
22,17,Ярополк Владимирович,? -1139,1132,1139,"Князь всея Руси, князь переяславский.
",,
23,18,Всеволод Ольгович,? -1146,1139,1146,"Князь всея Руси, князь черниговский.",,
24,19,Изяслав Мстиславич,? -1154,1146,1149,"Князь всея Руси, князь переяславский, князь волынский.",,
25,20,Юрий (Георгий) Владимирович Долгорукий,? -1157,1149,1150,"Князь всея Руси, князь суздальский.",,
26,19,Изяслав Мстиславич,? -1154,1150,1150,"Князь всея Руси, князь переяславский, князь волынский.
",,
27,20,Юрий (Георгий) Владимирович Долгорукий,? -1157,1150,1151,"Князь всея Руси, князь суздальский.",,
28,21,Изяслав Мстиславич,? -1154,1151,1154,"Князь всея Руси, князь переяславский, князь волынский
",,
29,22,Ростислав Мстиславич,? - 1167,1154,1155,"Князь всея Руси, князь смоленский.",,
30,23,Изяслав Давыдович,? -1162,1155,1155,"Князь всея Руси, князь черниговский.",,
31,20,Юрий (Георгий) Владимирович Долгорукий,? -1157,1155,1157,"Князь всея Руси, князь суздальский.",,
32,23,Изяслав Давыдович,? -1162,1157,1159,"Князь всея Руси, князь черниговский.",,
33,22,Ростислав Мстиславич,? - 1167,1159,1167,"Князь всея Руси, князь смоленский.",,
34,24,Мстислав Изяславич,? - 1170,1167,1169,"Князь всея Руси, князь волынский.
",https://www.runivers.ru/doc/rusland/knyaz1/595036/,
35,25,Глеб Юрьевич,? - 1171,1169,1171,"Князь всея Руси, князь переяславский.
",https://www.runivers.ru/doc/rusland/knyaz1/576970/,
36,26,Владимир Мстиславич,? -1171,1171,1171,"Князь всея Руси, князь дорогобужский.",https://www.runivers.ru/doc/rusland/knyaz1/595101/,
37,27,Роман Ростиславич,? -1180,1171,1172,"Князь всея Руси, князь смоленский.",https://www.runivers.ru/doc/rusland/knyaz1/576995/,
38,28,Рюрик Ростиславич,? -1212,1172,1173,Князь всея Руси.,https://www.runivers.ru/doc/rusland/knyaz1/577016/,
39,29,Всеволод Юрьевич Великое Гнездо,1154-1212,1173,1173,"Князь всея Руси, великий князь владимирский.",https://www.runivers.ru/doc/rusland/knyaz1/577064/,
40,30,Ярослав Изяславич,? -1180,1173,1174,"Князь всея Руси, князь луцкий.",https://www.runivers.ru/doc/rusland/knyaz1/577074/,
41,27,Роман Ростиславич,? -1180,1174,1176,"Князь всея Руси, князь смоленский.",https://www.runivers.ru/doc/rusland/knyaz1/576995/,
42,31,Святослав Всеволодович,? -1194,1176,1180,"Князь всея Руси, князь черниговский.",https://www.runivers.ru/doc/rusland/knyaz1/577822/,
43,28,Рюрик Ростиславич,? -1212,1180,1181,Князь всея Руси.,https://www.runivers.ru/doc/rusland/knyaz1/577016/,
44,31,Святослав Всеволодович,? -1194,1181,1194,"Князь всея Руси, князь черниговский.",https://www.runivers.ru/doc/rusland/knyaz1/577822/,
45,28,Рюрик Ростиславич,? -1212,1194,1202,Князь всея Руси.,https://www.runivers.ru/doc/rusland/knyaz1/577016/,
46,32,Ингварь Ярославич,,1202,1202,"Князь всея Руси, князь луцкий.",https://www.runivers.ru/doc/rusland/knyaz1/577115/,
47,28,Рюрик Ростиславич,? -1212,1203,1205,"Князь всея Руси, великий князь Киевский.",https://www.runivers.ru/doc/rusland/knyaz1/577016/,
48,32,Ингварь Ярославич,,1205,1205,"Князь всея Руси, князь луцкий.",https://www.runivers.ru/doc/rusland/knyaz1/577115/,
49,28,Рюрик Ростиславич,? -1212,1205,1206,"Князь всея Руси, великий князь владимирский.",https://www.runivers.ru/doc/rusland/knyaz1/577016/,
50,33,Всеволод Святославич Чермный,? -1212,1206,1206,"Князь всея Руси, князь черниговский.",https://www.runivers.ru/doc/rusland/knyaz1/577125/,
51,28,Рюрик Ростиславич,? -1212,1206,1207,"Князь всея Руси, великий князь владимирский.",https://www.runivers.ru/doc/rusland/knyaz1/577016/,
52,33,Всеволод Святославич Чермный,? -1212,1207,1207,"Князь всея Руси, князь черниговский.",https://www.runivers.ru/doc/rusland/knyaz1/577125/,
53,28,Рюрик Ростиславич,? -1212,1207,1210,"Князь всея Руси, великий князь владимирский.",https://www.runivers.ru/doc/rusland/knyaz1/577016/,
54,33,Всеволод Святославич Чермный,? -1212,1210,1212,"Князь всея Руси, князь черниговский.",https://www.runivers.ru/doc/rusland/knyaz1/577125/,
55,32,Ингварь Ярославич,,1212,1212,"Князь всея Руси, князь луцкий.",https://www.runivers.ru/doc/rusland/knyaz1/577115/,
56,34,Мстислав Романович,? -1223,1212,1223,"Князь всея Руси, князь смоленский.",https://www.runivers.ru/doc/rusland/knyaz1/577145/,
57,35,Владимир Рюрикович,? -1239,1223,1236,"Князь всея Руси, князь смоленский.",https://www.runivers.ru/doc/rusland/knyaz1/577157/,
58,36,Ярослав Всеволодич,1190 - 1246,1236,1238,"Князь всея Руси, великий князь суздальский
",https://www.runivers.ru/doc/rusland/knyaz1/577170/,
59,37,Михаил Всеволодич,? - 1246,1238,1239,"Князь всея Руси, князь черниговский.",https://www.runivers.ru/doc/rusland/knyaz1/577206/,
60,38,Даниил Романович,1201-1264,1240,1240,"Князь всея Руси, князь волынский и галицкий.",https://www.runivers.ru/doc/rusland/knyaz1/577234/,
61,36,Ярослав Всеволодич,1190 - 1246,1243,1246,"Князь всея Руси, великий князь владимирский.",https://www.runivers.ru/doc/rusland/knyaz1/577170/,
62,39,Александр Ярославич Невский,1221-1263,1249,1263,"Князь всея Руси, князь новгородский.",https://www.runivers.ru/doc/rusland/knyaz1/577266/,
63,40,Ярослав Ярославич,? -1271,1264,1271,"Князь всея Руси, великий князь владимирский, князь тверской.",https://www.runivers.ru/doc/rusland/knyaz1/577282/,
64,41,Василий Ярославич,1241-1277,1272,1276,"Князь всея Руси, великий князь владимирский князь костромской",https://www.runivers.ru/doc/rusland/knyaz1/577292/,
65,42,Дмитрий Александрович,? -1294,1277,1281,"Князь всея Руси, великий князь владимирский, князь переяславский.",https://www.runivers.ru/doc/rusland/knyaz1/577302/,
66,43,Андрей Александрович,? -1304,1281,1283,"Князь всея Руси, великий князь суздальский, князь городецкий",https://www.runivers.ru/doc/rusland/knyaz1/577324/,
67,42,Дмитрий Александрович,? -1294,1283,1294,"Князь всея Руси, великий князь владимирский, князь переяславский.",https://www.runivers.ru/doc/rusland/knyaz1/577302/,
68,43,Андрей Александрович,? -1304,1294,1304,"Князь всея Руси, великий князь владимирский, князь городецкий.",https://www.runivers.ru/doc/rusland/knyaz1/577324/,
69,44,Михаил Ярославич,1271-1320,1305,1317,"Великий князь всея Руси, князь тверской.
",https://www.runivers.ru/doc/rusland/knyaz1/577343/,
70,45,Юрий (Георгий) Данилович,? -1325,1317,1322,"Великий князь всея Руси, князь московский.",https://www.runivers.ru/doc/rusland/knyaz1/577361/,
71,46,Дмитрий Михайлович,1298-1326,1322,1326,"Великий князь всея Руси, князь тверской.",https://www.runivers.ru/doc/rusland/knyaz1/577380/,
72,47,Александр Михайлович,1300-1339,1326,1327,"Великий князь всея Руси, князь тверской, князь псковский.",https://www.runivers.ru/doc/rusland/knyaz1/577397/,
73,48,Иван I Данилович Калита (соправитель с Александром Васильевичем Суздальским в 1328-1331 гг.),? -1340,1328,1340,"Великий князь всея Руси, князь московский.
",https://www.runivers.ru/doc/rusland/knyaz1/577421/,
74,49,Александр Васильевич Суздальский (соправитель с Иваном I Даниловичем Калитой),? -1331,1328,1331,Князь суздальский.,https://www.runivers.ru/doc/rusland/knyaz1/579678/,
75,50,Семён Иванович Гордый,1317-1353,1340,1353,"Великий князь всея Руси, князь московский.",https://www.runivers.ru/doc/rusland/knyaz1/577434/,
76,51,Иван II Иванович Красный,1326-1359,1353,1359,"Великий князь всея Руси, князь московский.",https://www.runivers.ru/doc/rusland/knyaz1/577446/,
77,52,Дмитрий (Фома) Константинович,1322-83,1360,1362,"Великий князь всея Руси, князь суздальский, великий князь нижегородский.
",https://www.runivers.ru/doc/rusland/knyaz1/577457/,
78,53,Дмитрий Иванович Донской,1350-1389,1362,1389,"Великий князь всея Руси, князь московский",https://www.runivers.ru/doc/rusland/knyaz1/577467/,
79,54,Василий I Дмитриевич,1371 - 1425,1389,1425,"Великий князь всея Руси, князь московский.
",https://www.runivers.ru/doc/rusland/knyaz1/577523/,
80,55,Василий II Васильевич Тёмный,1415-1462,1425,1433,"Великий князь всея Руси, князь московский",https://www.runivers.ru/doc/rusland/knyaz1/577543/,
81,56,Юрий Дмитриевич,1374-1434,1433,1433,"Великий князь всея Руси, князь звенигородский и галицкий.",https://www.runivers.ru/doc/rusland/knyaz1/577595/,
82,55,Василий II Васильевич Тёмный,1415-1462,1433,1434,"Великий князь всея Руси, князь московский.",https://www.runivers.ru/doc/rusland/knyaz1/577543/,
83,56,Юрий Дмитриевич,1374-1434,1434,1434,"Великий князь всея Руси, князь звенигородский и галицкий",https://www.runivers.ru/doc/rusland/knyaz1/577595/,
84,55,Василий II Васильевич Тёмный,1415-1462,1434,1446,"Великий князь всея Руси, князь московский.",https://www.runivers.ru/doc/rusland/knyaz1/577543/,
85,57,Дмитрий Юрьевич Шемяка,? -1453,1446,1446,"Великий князь всея Руси, князь галицкий.
",https://www.runivers.ru/doc/rusland/knyaz1/577637/,
86,55,Василий II Васильевич Тёмный,1415-1462,1447,1461,"Великий князь всея Руси, князь московский.",https://www.runivers.ru/doc/rusland/knyaz1/577543/,
87,58,Иван III Васильевич Великий,1440-1505,1462,1505,Государь и великий князь всея Руси. Создатель единого Русского государства; первым стал называться «царём» и титулом «государя всея Руси.,https://www.runivers.ru/newenc/184800/,https://www.runivers.ru/upload/resize_cache/iblock/aa9/200_0_1/72_2.jpg
88,59,Василий III Иванович (соправитель),1479-1533,1505,1533,Государь и Великий князь всея Руси. Cтарший сын Ивана III и Софьи Палеолог.,https://www.runivers.ru/newenc/184796/,https://www.runivers.ru/upload/iblock/8ed/12.jpg
89,60,Иван IV Васильевич Грозный,1530-1584,1533,1584,"Государь, Царь и Великий Князь
всея Руси. Московский великий князь, сын Василия III и Елены Глинской.",https://www.runivers.ru/newenc/184805/,https://www.runivers.ru/upload/iblock/223/73.jpg
90,61,Федор Иоаннович,1557-1598,1584,1598,"Государь, Царь и Великий Князь всея Руси. Сын Ивана IV Грозного и Анастасии Романовой, последний из династии Рюриковичей. ",https://www.runivers.ru/newenc/184794/,https://www.runivers.ru/upload/iblock/ddd/%D0%A4%D0%B5%D0%B4%D0%BE%D1%80-%D0%98%D0%BE%D0%B0%D0%BD%D0%BD%D0%BE%D0%B2%D0%B8%D1%871.jpg
91,62,Борис Федорович Годунов,1551 – 1605,1598,1605,"Государь, Царь и Великий Князь
всея Руси. Боярин, шурин царя Фёдора Иоанновича, из рода костромских бояр.",https://www.runivers.ru/newenc/184798/,https://www.runivers.ru/upload/iblock/558/64.jpg
92,63,Лжедмитрий I,? - 1606,1605,1606,"Государь, Царь и Великий Князь всея Руси. Самозванец, выдававший себя за сына Ивана IV Грозного царевича Дмитрия.",https://www.runivers.ru/newenc/184790/,https://www.runivers.ru/upload/iblock/fc0/%D0%9B%D0%B6%D0%B5%D0%B4%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9%20I.JPG
93,64,Василий IV Шуйский,1553 - 1612,1606,1610,"Государь, Царь и Великий Князь всея Руси. Князь, московский боярин.",https://www.runivers.ru/newenc/471200/,https://www.runivers.ru/upload/iblock/535/457px-Vasily_shuysky.jpg
94,65,Семибоярщина при формальном царствовании польского королевича Владислава,-,1610,1612,"Семибоярщина – боярское правительство, созданное в Москве после свержения в июле 1610 г. царя Василия Шуйского.",https://www.runivers.ru/newenc/458241/,
95,66,Михаил Федорович Романов,1596 - 1645,1613,1645,"Государь, Царь и Великий Князь всея Руси. Первый русский царь из династии Романовых; избран на царство Земским собором.",https://www.runivers.ru/house_of_romanov/michail/ru/,https://www.runivers.ru/upload/iblock/74f/%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB-%D0%A4%D0%B5%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87-%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2_%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.jpg
96,67,Алексей Михайлович,1629 – 1676,1645,1676,"Государь, Царь и Великий Князь всея Руси. Сын царя Михаила Федоровича, второй русский царь (1645-1676 гг.) из династии Романовых.",https://www.runivers.ru/house_of_romanov/alexis/ru/,https://www.runivers.ru/upload/iblock/d9c/image.jpg
97,68,Фёдор III Алексеевич,1661 – 1682,1676,1682,"Государь, царь и великий князь всея Руси. Сын царя Алексея Михайловича.",https://www.runivers.ru/house_of_romanov/fedor_iii/ru/,https://www.runivers.ru/upload/iblock/3f0/image%20r1r.jpg
98,69,Петр I Алексеевич,1672 – 1725,1682,1689,"Соправитель - Иван V Алексеевич, Государь, Царь и Великий Князь всея Руси, сын царя Алексея Михайловича. Регент - Софья Алексеевна, Великая Государыня Царевна и Великая княжна. Правительница-регентша Российского царства. дочь царя Алексея Михайловича.",https://www.runivers.ru/house_of_romanov/peter_i/ru/,https://www.runivers.ru/upload/iblock/256/image%20k4o.jpg
99,70,Петр I Алексеевич,1672 – 1725,1689,1696,"Соправитель - Иван V Алексеевич, Государь, Царь и Великий Князь всея Руси, сын царя Алексея Михайловича.",https://www.runivers.ru/house_of_romanov/peter_i/ru/,https://www.runivers.ru/upload/iblock/256/image%20k4o.jpg
100,71,Петр I Алексеевич,1672 – 1725,1696,1725,"Государь, Царь и Великий Князь всея Руси (с 1682 г.).
Император и Самодержец Всероссийский (с 1721 г.). ",https://www.runivers.ru/house_of_romanov/peter_i/ru/,https://www.runivers.ru/upload/iblock/256/image%20k4o.jpg
101,72,Екатерина I Алексеевна,1684 – 1727,1725,1727,Императрица Всероссийская. Вторая жена и наследница Петра I.,https://www.runivers.ru/house_of_romanov/catherine_i/ru/,https://www.runivers.ru/upload/iblock/18e/image%20z5f.jpg
102,73,Петр II Алексеевич,1715 – 1730,1727,1730,Император Всероссийскийю Внук Петра I (сын царевича Алексея Петровича).,https://www.runivers.ru/house_of_romanov/peter_ii/ru/,https://www.runivers.ru/upload/iblock/c98/image%20s6c.jpg
103,74,Анна Иоанновна,1693 – 1740,1730,1740,"Императрица Всероссийская. Дочь царя Ивана V Алексеевича, вдова курляндского герцога.",https://www.runivers.ru/house_of_romanov/anna/ru/,https://www.runivers.ru/upload/iblock/786/image%20s7z.jpg
104,75,Иван VI Антонович,1740 – 1764,1740,1741,Император Всероссийский. Правнук Ивана V.,https://www.runivers.ru/house_of_romanov/ivan_vi/ru/,https://www.runivers.ru/upload/iblock/f9f/image%20v8r.jpg
105,76,Елизавета Петровна,1709 – 1761,1741,1761,Императрица Всероссийская. Дочь Петра I и Екатерины I.,https://www.runivers.ru/house_of_romanov/elizabeth/ru/,https://www.runivers.ru/upload/iblock/bee/image%20a9k.jpg
106,77,Петр III Федорович,1728 – 1762,1761,1762,Император Всероссийский.,https://www.runivers.ru/house_of_romanov/peter_iii/ru/,https://www.runivers.ru/upload/iblock/715/image%20p11s.jpg
107,78,Екатерина II Великая,1729 – 1796,1762,1796,Императрица Всероссийская. Жена императора Петра III.,https://www.runivers.ru/house_of_romanov/catherine_ii/ru/,https://www.runivers.ru/upload/iblock/5fe/12_Catherine%20II%20-%20minay.jpg
108,79,Павел I Петрович,1754 – 1801,1796,1801,Император Всероссийский. Сын Петра III и Екатерины II.,https://www.runivers.ru/house_of_romanov/paul_i/ru/,https://www.runivers.ru/upload/iblock/05a/image%20p13e.jpg
109,80,Александр I Павлович,1777 – 1825,1801,1825,Император Всероссийский. Сын Павла I.,https://www.runivers.ru/house_of_romanov/alexander_i/ru/,https://www.runivers.ru/upload/iblock/1c1/image%20g14d.jpg
110,81,Николай I Павлович,1796 – 1855,1825,1855,"Император Всероссийский. Сын Павла I, младший брат Александра I.",https://www.runivers.ru/house_of_romanov/nicholas_i/ru/,https://www.runivers.ru/upload/iblock/b5f/image%20q15g.jpg
111,82,Александр II Николаевич,1818 – 1881,1855,1881,Император Всероссийский. Сын Николая I.,https://www.runivers.ru/house_of_romanov/alexander_ii/ru/,https://www.runivers.ru/upload/iblock/a85/001-12.jpg
112,83,Александр III Александрович,1845 – 1894,1881,1894,Император Всероссийский. Сын Александра II.,https://www.runivers.ru/house_of_romanov/alexander_iii/ru/,https://www.runivers.ru/upload/iblock/6ea/image%20b17o.jpg
113,84,Николай II Александрович,1868 – 1918,1894,1917,"Император Всероссийский/ Сын Александра III, последний российский император.",https://www.runivers.ru/house_of_romanov/nicholas_ii/ru/,https://www.runivers.ru/upload/iblock/3bd/840583813.jpg
114,85,Георгий Евгеньевич Львов,1861 — 1925,1917,1917,"Министр-председатель Временного правительства
2 марта - 7 июля 1917 г.",,"https://www.runivers.ru/upload/iblock/838/Georgy_Lvov,_1918.jpg"
115,86,Александр Федорович Керенский,1881 — 1970,1917,1917,"Министр-председатель Всероссийского Временного Правительства
7 июля 1917 - 26 октября 1917 г.",,https://www.runivers.ru/upload/iblock/9ef/Karenskiy_AF_1917.jpg
116,87,Владимир Ильич Ленин (Ульянов),1870 — 1924,1917,1924,Председатель Совета Народных Комиссаров СССР,,https://www.runivers.ru/upload/iblock/afd/lenin.jpg
117,88,Иосиф Виссарионович Сталин (Джугашвили),"(1878 , 1879 ???) — 1953",1924,1953,"Генеральный секретарь ЦК ВКП(б) (1922-1934 гг.) 
Секретарь ЦК ВКП(б) (1934-1952 гг.)
Секретарь ЦК КПСС (1952-1953 гг.)",,https://www.runivers.ru/upload/iblock/43d/logosfera_Stalin.jpg
118,89,Никита Сергеевич Хрущев,1894 – 1971,1953,1964,Первый секретарь ЦК КПСС,,https://www.runivers.ru/upload/iblock/5fb/09-22-hruschev.jpg
119,90,Леонид Ильич Брежнев,1906 - 1982,1964,1982,Генеральный секретарь ЦК КПСС,,https://www.runivers.ru/upload/iblock/d0f/56789.jpg
120,91,Юрий Владимирович Андропов,1914 — 1984,1982,1984,Генеральный секретарь ЦК КПСС,,https://www.runivers.ru/upload/iblock/60c/andropov.jpg
121,92,Константин Устинович Черненко,1911 — 1985,1984,1985,Генеральный секретарь ЦК КПСС,,https://www.runivers.ru/upload/iblock/b2f/09-24-chernenko.jpg
122,93,Михаил Сергеевич Горбачев,1931 —,1985,1991,"Генеральный секретарь ЦК КПСС
Президент СССР",,https://www.runivers.ru/upload/iblock/483/09-25-gorbachev.jpg
123,94,Борис Николаевич Ельцин,"1931 — 2007,",1991,1999,"Генеральный секретарь ЦК КПСС
Президент СССР",,https://www.runivers.ru/upload/iblock/68c/09-35-yeltsin.jpg
124,95,Владимир Владимирович Путин,1952 -,2000,2008,Президент Российской Федерации,,https://www.runivers.ru/upload/iblock/9b2/jZLnaO60tUCfOBbB16AccjZVlpnhAZyn_%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.jpg
125,96,Дмитрий Анатольевич Медведев,1965 -,2008,2012,Президент Российской Федерации,,https://www.runivers.ru/upload/iblock/76f/0B2aYn3k8ZGl1ptNxaynbkGzUg9A3nev.png
126,97,Владимир Владимирович Путин,1952 -,2012,2018,Президент Российской Федерации,,https://www.runivers.ru/upload/iblock/9b2/jZLnaO60tUCfOBbB16AccjZVlpnhAZyn_%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.jpg